ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SH605567,sh605567,春雪食品,食品,食品,2026-09-09,10.2,12.2,3.76,5.26,5.92,148923.0,8.0,uptrend7,8/8
SH605500,sh605500,森林包装,造纸印刷,造纸印刷,2026-09-09,7.57,7.8,0.0,3.13,3.27,25143.0,6.0,uptrend7,6/8
SH605399,sh605399,晨光新材,化学原料,化学原料,2026-09-09,11.67,5.8,0.52,3.09,3.27,29390.0,7.0,uptrend7,7/8
SH605488,sh605488,福莱新材,化学制品,化学制品,2026-09-09,30.09,-2.0,0.4,0.5,10.54,70836.0,7.0,uptrend7,7/8
SH605577,sh605577,龙版传媒,平面媒体,平面媒体,2026-09-08,18.67,91.7,9.12,20.06,32.04,668796.0,8.0,uptrend7,8/8
SH605507,sh605507,国邦医药,化学制药,化学制药,2026-09-09,15.69,0.3,1.16,1.82,0.71,30373.0,5.0,uptrend7,5/8
SH605398,sh605398,新炬网络,计算机软件,计算机软件,2026-09-09,24.09,13.5,-5.08,-13.93,-9.64,131065.0,6.0,uptrend7,6/8
SH605580,sh605580,恒盛能源,电力,电力,2026-09-09,24.0,29.7,-4.19,-1.68,6.81,316639.0,7.0,uptrend7,7/8
SH688001,sh688001,华兴源创,专用设备,专用设备,2026-09-09,66.31,31.7,8.6,13.82,36.58,19050931.0,7.0,uptrend7,7/8
SH688002,sh688002,睿创微纳,电子设备制造,电子设备制造,2026-09-09,182.02,8.6,1.86,0.3,0.87,10450762.0,6.0,uptrend7,6/8
SH688003,sh688003,天准科技,通用设备,通用设备,2026-09-09,80.04,0.1,-0.46,-0.57,6.71,3123295.0,5.0,uptrend7,5/8
SH688015,sh688015,交控科技,其他交运设备,其他交运设备,2026-09-09,16.71,4.3,-1.59,0.06,-0.77,931587.0,5.0,uptrend7,5/8
SH688017,sh688017,绿的谐波,通用设备,通用设备,2026-09-09,290.5,-18.2,-0.7,-1.51,3.82,3728818.0,5.0,uptrend7,5/8
SH688020,sh688020,方邦股份,电子元件,电子元件,2026-09-09,142.05,-0.3,0.49,-0.66,7.46,4804749.0,7.0,uptrend7,7/8
SH688022,sh688022,ST瀚川,专用设备,专用设备,2026-09-09,9.24,10.9,-1.91,-2.63,2.67,1565713.0,6.0,uptrend7,6/8
SH688028,sh688028,沃尔德,通用设备,通用设备,2026-09-09,124.35,40.2,10.15,20.61,27.51,14137122.0,8.0,uptrend7,8/8
SH688026,sh688026,洁特生物,生物医药,生物医药,2026-09-09,22.03,21.3,-0.77,1.52,6.68,8199077.0,7.0,uptrend7,7/8
SH688033,sh688033,*ST天宜,铁路设备,铁路设备,2026-09-09,7.36,18.9,12.2,11.35,9.69,16947854.0,8.0,uptrend7,8/8
SH688035,sh688035,德邦科技,化学新材料,化学新材料,2026-09-09,71.9,15.6,2.98,4.11,12.93,8424737.0,7.0,uptrend7,7/8
SH688038,sh688038,中科通达,计算机软件,计算机软件,2026-09-09,18.9,6.1,-0.42,1.94,2.0,1777196.0,5.0,uptrend7,5/8
SH688039,sh688039,当虹科技,计算机软件,计算机软件,2026-09-09,35.54,-0.5,-5.43,6.38,4.38,8451099.0,6.0,uptrend7,6/8
SH688048,sh688048,长光华芯,半导体,半导体,2026-09-09,310.7,3.1,-1.52,3.57,14.22,11518543.0,7.0,uptrend7,7/8
SH688051,sh688051,佳华科技,互联网服务,互联网服务,2026-09-09,25.08,-0.6,-2.79,-1.18,1.25,1392318.0,5.0,uptrend7,5/8
SH688060,sh688060,云涌科技,互联网服务,互联网服务,2026-09-09,37.18,7.9,0.87,-1.95,3.62,765747.0,8.0,uptrend7,8/8
SH688057,sh688057,金达莱,专用设备,专用设备,2026-09-09,18.18,-2.0,-0.76,-4.21,0.33,5868710.0,5.0,uptrend7,5/8
SH688066,sh688066,*ST航图,卫星应用,卫星应用,2026-09-09,9.03,-2.1,8.01,10.8,14.3,14517645.0,7.0,uptrend7,7/8
SH688075,sh688075,安旭生物,生物医药,生物医药,2026-09-09,29.57,0.7,-1.76,-0.74,0.92,442912.0,6.0,uptrend7,6/8
SH688061,sh688061,灿瑞科技,半导体,半导体,2026-09-09,45.8,19.4,-4.1,-10.02,-10.89,3045756.0,5.0,uptrend7,5/8
SH688076,sh688076,ST诺泰,生物医药,生物医药,2026-09-09,28.76,2.2,-1.0,-0.03,0.0,1266651.0,6.0,uptrend7,6/8
SH688073,sh688073,毕得医药,生物医药,生物医药,2026-09-09,63.71,-20.0,-0.76,7.18,8.74,5067304.0,6.0,uptrend7,6/8
SH688078,sh688078,龙软科技,计算机软件,计算机软件,2026-09-09,28.35,21.3,5.08,4.73,9.0,2357195.0,8.0,uptrend7,8/8
SH688084,sh688084,晶品特装,机器人,机器人,2026-09-09,46.62,-1.6,2.91,1.7,-2.28,2157256.0,5.0,uptrend7,5/8
