ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SZ002966,sz002966,苏州银行,银行,银行,2026-09-10,9.15,8.4,0.33,0.55,1.89,124701.0,6.0,uptrend7,6/8
SZ002972,sz002972,科安达,铁路设备,铁路设备,2026-09-10,13.2,-2.5,-0.53,-1.93,-5.24,19565.0,5.0,uptrend7,5/8
SZ002980,sz002980,华盛昌,通用设备,通用设备,2026-09-10,132.06,46.4,-1.68,1.65,11.82,30392.0,8.0,uptrend7,8/8
SZ002982,sz002982,湘佳股份,畜牧业,畜牧业,2026-09-10,13.47,9.2,-1.17,-1.1,-0.3,30360.0,7.0,uptrend7,7/8
SZ002981,sz002981,朝阳科技,电子设备制造,电子设备制造,2026-09-10,24.36,6.0,0.5,0.04,0.45,3085.0,6.0,uptrend7,6/8
SZ002985,sz002985,北摩高科,航空航天装备,航空航天装备,2026-09-10,28.9,11.5,-0.41,-0.62,-0.96,15990.0,6.0,uptrend7,6/8
SZ002988,sz002988,豪美新材,基本金属,基本金属,2026-09-10,31.47,48.6,3.15,4.31,9.38,32132.0,8.0,uptrend7,8/8
SZ002997,sz002997,瑞鹄模具,汽车,汽车,2026-09-10,29.6,10.7,0.68,3.61,4.23,6622.0,5.0,uptrend7,5/8
SZ002998,sz002998,优彩资源,合成纤维及树脂,合成纤维及树脂,2026-09-03,8.6,9.1,0.23,0.35,3.37,105601.0,8.0,uptrend7,8/8
SZ002999,sz002999,天禾股份,化肥农药,化肥农药,2026-09-10,7.15,23.1,-3.9,-2.99,6.72,268225.0,7.0,uptrend7,7/8
SZ003002,sz003002,壶化股份,化学制品,化学制品,2026-09-10,17.9,8.3,-3.09,-6.72,1.7,33336.0,7.0,uptrend7,7/8
SZ003006,sz003006,百亚股份,其他轻工,其他轻工,2026-09-10,17.12,26.2,2.76,8.35,11.31,86390.0,8.0,uptrend7,8/8
SZ003009,sz003009,中天火箭,航空航天装备,航空航天装备,2026-09-10,49.11,-1.4,0.08,2.27,3.32,13409.0,7.0,uptrend7,7/8
SZ003013,sz003013,地铁设计,基础建设,基础建设,2026-09-10,17.19,-3.3,-3.59,3.31,4.43,34047.0,5.0,uptrend7,5/8
SZ003016,sz003016,欣贺股份,服装家纺,服装家纺,2026-09-10,7.49,8.9,-0.93,-0.27,1.77,10043.0,7.0,uptrend7,7/8
SZ003029,sz003029,吉大正元,计算机软件,计算机软件,2026-09-10,17.66,3.6,1.03,0.4,1.79,20107.0,6.0,uptrend7,6/8
SZ003030,sz003030,祖名股份,食品,食品,2026-09-10,26.31,16.7,0.84,-0.75,-0.38,7585.0,6.0,uptrend7,6/8
SZ003033,sz003033,征和工业,通用设备,通用设备,2026-09-10,73.9,16.2,-2.66,3.6,6.12,6835.0,7.0,uptrend7,7/8
SZ003037,sz003037,三和管桩,水泥,水泥,2026-09-10,6.02,5.4,2.91,1.86,3.44,48477.0,7.0,uptrend7,7/8
SZ003042,sz003042,中农联合,化肥农药,化肥农药,2026-09-10,15.24,15.5,-1.55,-1.74,2.56,17636.0,7.0,uptrend7,7/8
SZ003039,sz003039,顺控发展,水务,水务,2026-09-10,13.6,14.4,4.13,2.26,6.33,78432.0,5.0,uptrend7,5/8
SZ003038,sz003038,鑫铂股份,基本金属,基本金属,2026-09-10,11.05,2.1,-0.45,-1.52,0.27,6771.0,5.0,uptrend7,5/8
SZ300008,sz300008,天海防务,船舶与海洋装备,船舶与海洋装备,2026-09-10,6.49,5.7,-1.37,1.56,1.72,314497.0,8.0,uptrend7,8/8
SZ300002,sz300002,神州泰岳,互联网服务,互联网服务,2026-09-10,8.16,-1.9,-1.21,-3.43,-2.28,61715.0,5.0,uptrend7,5/8
SZ300010,sz300010,ST豆神,教育,教育,2026-09-10,5.22,131.0,4.61,14.47,17.83,629400.0,8.0,uptrend7,8/8
SZ300013,sz300013,新宁物流,物流,物流,2026-09-10,4.32,5.4,2.37,2.37,2.86,106091.0,5.0,uptrend7,5/8
SZ300020,sz300020,ST银江,计算机软件,计算机软件,2026-09-10,4.17,16.5,-0.48,-0.95,4.51,49186.0,8.0,uptrend7,8/8
SZ300021,sz300021,大禹节水,水务,水务,2026-09-10,4.42,15.1,2.55,2.08,5.74,220289.0,8.0,uptrend7,8/8
SZ300027,sz300027,ST华谊,影视动漫,影视动漫,2026-09-10,1.82,0.0,-1.09,-0.55,1.11,66409.0,6.0,uptrend7,6/8
SZ300034,sz300034,钢研高纳,金属制品,金属制品,2026-09-10,16.52,5.2,-1.08,0.3,2.74,24137.0,6.0,uptrend7,6/8
SZ300040,sz300040,九洲集团,电力,电力,2026-09-10,5.93,-12.1,1.89,3.13,4.77,143518.0,6.0,uptrend7,6/8
SZ300037,sz300037,新宙邦,化学制品,化学制品,2026-09-10,68.21,3.9,-0.41,1.02,0.12,19231.0,6.0,uptrend7,6/8
SZ300044,sz300044,*ST赛为,计算机软件,计算机软件,2026-09-10,5.96,11.8,0.85,-1.97,-1.65,29349.0,5.0,uptrend7,5/8
SZ300049,sz300049,福瑞医科,医疗器械,医疗器械,2026-09-10,43.0,-7.3,-0.92,-3.24,4.83,14003.0,5.0,uptrend7,5/8
SZ300050,sz300050,世纪鼎利,通信设备,通信设备,2026-09-10,7.67,24.1,3.79,7.72,8.03,179192.0,6.0,uptrend7,6/8
SZ300055,sz300055,万邦达,石油天然气,石油天然气,2026-09-10,6.23,4.4,0.65,-0.16,4.01,41241.0,5.0,uptrend7,5/8
SZ300061,sz300061,旗天科技,营销服务,营销服务,2026-09-10,7.15,7.8,0.99,4.69,10.68,263509.0,8.0,uptrend7,8/8
SZ300065,sz300065,海兰信,船舶与海洋装备,船舶与海洋装备,2026-09-10,15.79,-4.8,-2.35,2.33,1.94,113257.0,6.0,uptrend7,6/8
SZ300062,sz300062,中能电气,输变电设备,输变电设备,2026-09-10,6.5,-5.5,1.4,2.2,3.01,99530.0,5.0,uptrend7,5/8
SZ300070,sz300070,碧水源,环保,环保,2026-09-10,3.52,0.6,-0.28,-1.12,1.73,66248.0,6.0,uptrend7,6/8
SZ300072,sz300072,海新能科,化学制品,化学制品,2026-09-10,3.79,3.6,-0.26,-0.26,4.7,63296.0,5.0,uptrend7,5/8
SZ300080,sz300080,易成新能,电源设备,电源设备,2026-09-10,3.84,2.9,0.79,0.0,2.4,29700.0,5.0,uptrend7,5/8
SZ300087,sz300087,ST荃银,农业,农业,2026-09-10,6.11,16.4,-2.08,-2.71,-1.45,98269.0,5.0,uptrend7,5/8
SZ300099,sz300099,尤洛卡,专用设备,专用设备,2026-09-10,6.26,3.0,0.48,-0.95,2.79,49756.0,8.0,uptrend7,8/8
SZ300094,sz300094,国联水产,渔业,渔业,2026-09-10,3.42,17.9,-2.01,0.59,2.7,498718.0,7.0,uptrend7,7/8
SZ300088,sz300088,长信科技,电子器件,电子器件,2026-09-10,7.19,-4.4,-1.78,4.35,4.05,438285.0,7.0,uptrend7,7/8
