industry,prefixed,code6,name,m,chg1,turnover5,date
软件服务,hk00068,00068,群核科技,-15.27,-8.82,272274497.4,2026-09-11
银行,hk03988,03988,中国银行,1.87,1.26,1036515499.3,2026-09-11
银行,hk03328,03328,交通银行,1.53,0.37,371236680.2,2026-09-11
银行,hk06818,06818,中国光大银行,1.26,1.24,81443093.4,2026-09-11
银行,hk01658,01658,邮储银行,1.22,1.03,172164897.5,2026-09-11
银行,hk02388,02388,中银香港,1.03,1.16,591057653.6,2026-09-11
银行,hk00939,00939,建设银行,0.76,-0.15,2115092015.2,2026-09-11
银行,hk00998,00998,中信银行,0.57,0.3,230148899.5,2026-09-11
银行,hk01398,01398,工商银行,0.52,0.0,985551083.8,2026-09-11
银行,hk01288,01288,农业银行,0.24,-0.39,513815124.0,2026-09-11
银行,hk02888,02888,渣打集团,0.1,0.0,167536822.8,2026-09-11
银行,hk03968,03968,招商银行,-0.11,-0.38,556298564.0,2026-09-11
银行,hk00005,00005,汇丰控股,-1.11,-0.85,1544131254.4,2026-09-11
银行,hk03618,03618,重庆农村商业银行,-1.38,-2.23,46948590.6,2026-09-11
银行,hk01988,01988,民生银行,-1.78,-2.66,136379072.8,2026-09-11
食物饮品,hk06658,06658,溜溜梅,12.27,8.25,98134618.3,2026-09-11
食物饮品,hk02218,02218,安德利果汁,3.19,2.87,65812020.0,2026-09-11
食物饮品,hk00220,00220,统一企业中国,2.48,3.69,99271584.5,2026-09-11
食物饮品,hk02319,02319,蒙牛乳业,0.83,1.44,300348987.7,2026-09-11
食物饮品,hk09858,09858,优然牧业,0.38,-0.11,85837459.4,2026-09-11
食物饮品,hk09980,09980,东鹏饮料,0.06,0.9,77183640.2,2026-09-11
食物饮品,hk06186,06186,中国飞鹤,-0.11,1.98,110494357.2,2026-09-11
食物饮品,hk00322,00322,康师傅控股,-0.5,0.08,234764839.0,2026-09-11
食物饮品,hk02097,02097,蜜雪集团,-0.84,1.14,44926284.3,2026-09-11
食物饮品,hk02648,02648,安井食品,-1.21,-1.22,41057298.3,2026-09-11
食物饮品,hk09633,09633,农夫山泉,-1.68,-0.2,252208338.5,2026-09-11
食物饮品,hk00168,00168,青岛啤酒股份,-1.77,-0.6,123712501.8,2026-09-11
