排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分,池内,出池原因
,通信运营,34,7,4.8,0.93,12.95,"Telephone and Data Systems Inc.[TDS](7/8,+13%)、Vodafone Group Plc[VOD](7/8,+10%)、Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)[VIV](7/8,-1%)、KT Corporation[KT](6/8,+8%)、Rogers Communication Inc.[RCI](6/8,+8%)、◎Vodafone Group Plc[VOD](+2%)、◎Turkcell Iletisim Hizmetleri AS[TKC](+3%)、◆Iridium Communications Inc[IRDM](+1%)、◎Telephone and Data Systems Inc.[TDS](+0%)、◎SK Telecom Co. Ltd.[SKM](-1%)、◆Millicom International Cellular S.A.[TIGO](+1%)、◆Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)[VIV](+1%)",—,5.21,0.85,6.06,0,腿池外
,医药商业,24,5,4.77,0.91,12.84,"AdaptHealth Corp.[AHCO](7/8,+19%)、Guardian Pharmacy Services Inc.[GRDN](7/8,+2%)、CVS Health Corporation[CVS](6/8,+0%)、Cencora Inc.[COR](6/8,+0%)、U.S. Physical Therapy Inc.[USPH](6/8,-3%)、◎Guardian Pharmacy Services Inc.[GRDN](+4%)、◆Sonida Senior Living Inc.[SNDA](+4%)、◆PACS Group Inc.[PACS](+3%)、◆Brookdale Senior Living Inc.[BKD](+3%)、◎Universal Health Services Inc.[UHS](+1%)、◆National HealthCare Corporation[NHC](+1%)、◎U.S. Physical Therapy Inc.[USPH](-1%)",—,5.17,0.83,6.0,0,腿池外
,银行,256,54,4.4,1.25,17.52,"Shinhan Financial Group Co Ltd[SHG](8/8,+13%)、Banco Bradesco Sa[BBD](8/8,+7%)、Mizuho Financial Group Inc. Sponosred ADR (Japan)[MFG](8/8,+6%)、KB Financial Group Inc[KB](7/8,+7%)、Mitsubishi UFJ Financial Group Inc.[MUFG](7/8,+6%)、◎Riot Platforms Inc.[RIOT](+2%)、◎Core Scientific Inc.[CORZ](+5%)、◆Banco Bradesco Sa[BBD](+2%)、◆Shinhan Financial Group Co Ltd[SHG](+2%)、◆HomeTrust Bancshares Inc.[HTB](+1%)、◆Cullen/Frost Bankers Inc.[CFR](+1%)、◆Nicolet Bankshares Inc.[NIC](+0%)",趋势,4.77,1.14,5.91,0,动量<2
,化学制品,12,3,3.95,1.65,23.12,"Blue Bird Corporation[BLBD](6/8,-2%)、Perimeter Solutions SA[PRM](6/8,-7%)、Lightwave Logic Inc.[LWLG](6/8,-26%)、◎Lightwave Logic Inc.[LWLG](+5%)、◆Flotek Industries Inc.[FTK](+4%)、◆Olin Corporation[OLN](+3%)、◆PureCycle Technologies Inc. Common stock[PCT](+2%)、◎Huntsman Corporation[HUN](+2%)、◎Element Solutions Inc.[ESI](+1%)、◆Perimeter Solutions SA[PRM](+1%)",—,4.28,1.51,5.79,0,腿池外
,其他建材,18,4,4.44,0.9,12.52,"Gibraltar Industries Inc.[ROCK](7/8,-3%)、Atkore Inc.[ATKR](6/8,+0%)、Johnson Controls International plc Ordinary Share[JCI](6/8,-3%)、AAON Inc.[AAON](6/8,-11%)、◎Gibraltar Industries Inc.[ROCK](+0%)、◎Trex Company Inc.[TREX](+0%)、◆Johnson Controls International plc Ordinary Share[JCI](+1%)、◎AAON Inc.[AAON](+0%)、◆ADI Global Distribution Inc.[ADIG](+1%)、◆AZZ Inc.[AZZ](-0%)、◆Cemex S.A.B. de C.V. Sponsored ADR[CX](-1%)",—,4.81,0.82,5.63,0,腿池外
,农业,10,2,4.99,0.24,2.39,"Bunge Limited[BG](7/8,+11%)、Archer-Daniels-Midland Company[ADM](6/8,+6%)、◎Bunge Limited[BG](+4%)、◎Del Monte Corporation[DMC](+2%)、◎Darling Ingredients Inc.[DAR](+3%)、◎Archer-Daniels-Midland Company[ADM](-0%)、◎Dole plc[DOLE](-1%)、◎Ingredion Incorporated[INGR](-1%)、◎Corteva Inc.[CTVA](-2%)",—,5.41,0.22,5.63,0,腿池外
,教育,6,1,5.96,-0.96,-13.47,"Grand Canyon Education Inc.[LOPE](7/8,+3%)、◎Laureate Education Inc.[LAUR](-1%)、◆Strategic Education Inc.[STRA](-0%)、◆American Public Education Inc.[APEI](+0%)、◎Perdoceo Education Corporation[PRDO](-0%)、◎Grand Canyon Education Inc.[LOPE](-1%)、◎Universal Technical Institute Inc[UTI](-3%)、◎Lincoln Educational Services Corporation[LINC](-3%)",—,6.46,-0.88,5.58,0,腿池外
,水务,22,4,5.48,-0.43,-5.41,"Essential Utilities Inc.[WTRG](8/8,+6%)、Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)[SBS](7/8,+1%)、H2O America[HTO](6/8,+6%)、American Water Works Company Inc.[AWK](6/8,+4%)、◎Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)[SBS](+2%)、◎H2O America[HTO](+1%)、◎Essential Utilities Inc.[WTRG](+1%)、◎American Water Works Company Inc.[AWK](-0%)、◆American States Water Company[AWR](+0%)、◆California Water Service Group[CWT](-0%)、◎Alliance Laundry Holdings Inc.[ALH](-2%)",—,5.94,-0.39,5.55,0,腿池外
,影视动漫,14,3,4.64,0.55,7.6,"Roblox Corporation[RBLX](7/8,+21%)、Warner Music Group Corp.[WMG](6/8,+7%)、TKO Group Holdings Inc.[TKO](6/8,+3%)、◎Roblox Corporation[RBLX](+3%)、◆TKO Group Holdings Inc.[TKO](+5%)、◎Cinemark Holdings Inc Cinemark Holdings Inc.[CNK](+3%)、◎Imax Corporation[IMAX](+2%)、◎NetEase Inc.[NTES](+0%)、◎Madison Square Garden Entertainment Corp.[MSGE](-1%)、◆Paramount Skydance Corporation[PSKY](-1%)",—,5.03,0.5,5.53,0,腿池外
,专用设备,20,4,4.96,0.11,1.48,"Lindsay Corporation[LNN](7/8,+7%)、Alamo Group Inc.[ALG](7/8,+2%)、CNH Industrial N.V.[CNH](6/8,+30%)、AGCO Corporation[AGCO](6/8,+27%)、◎Cummins Inc.[CMI](+0%)、◆Westinghouse Air Brake Technologies Corporation[WAB](+1%)、◆Toro Company (The)[TTC](+2%)、◎Lindsay Corporation[LNN](-0%)、◎Federal Signal Corporation[FSS](-1%)、◎Terex Corporation[TEX](-1%)、◆Alamo Group Inc.[ALG](-1%)",—,5.38,0.1,5.48,0,腿池外
